,Refcode,ΔE,P1/P2,O…O,O-H-O,O_H1-O_H3,O_H1-O_H4,O_H2-O_H3,O_H2-O_H4,min H…O,min H…H,H1…H4,H-O-H-H3,H-O-H-O,H-O-H-H4,O-H1-H3,O-H1-H4,H1-O-H2,H3-O-H4,R(H1O),r(H1O),R(H1H3),r(H1H3),R(H1H4),r(H1H4)
61,RUPHEQ,-3.3554326923077,0.0,2.502,112.0,180.0,70.579,70.579,180.0,1.955,1.831,2.909,159.194,159.194,166.249,81.812,111.42,109.421,109.421,1.8126444356781,0.73235589012811,1.8123349349214,-0.26077400879582,2.7080706955772,1.0623719253426
66,SUXQAF,-0.902546875,71.973,2.564,116.881,168.412,77.404,60.931,113.277,1.957,1.746,2.881,80.752,87.306,95.626,87.112,112.471,107.559,107.638,1.7455412841144,0.88483593137499,1.7437824602948,-0.087970058361563,2.6622546231469,1.1011636215989
71,LUZFOB,-3.7063737980769,0.0,2.604,105.173,180.0,76.96,76.96,180.0,2.161,2.129,3.114,159.74,159.74,166.125,78.423,104.691,103.04,103.04,2.0856674126277,0.56560803026727,2.0856873866642,-0.42725767998947,3.0121958696611,0.78972909456116
108,HAYCUG,-1.2988894230769,0.0,2.713,129.882,180.0,77.56,77.56,180.0,1.967,1.533,2.461,103.09,103.09,131.735,100.079,126.825,102.44,102.44,1.509410163765,1.2612572923567,1.5093418075024,0.26828400646588,1.9699564765181,1.4750567720005
110,FONDOD,-3.61003125,29.182,2.714,132.809,155.512,51.109,93.935,147.529,1.939,1.87,2.929,156.083,159.416,157.272,102.796,131.519,106.288,104.63,1.4224952472489,1.3176601502491,1.8235582114031,0.41416838317825,2.193047587251,1.9415414700832
111,ZETGUC,-0.94677524038462,0.0,2.716,130.316,180.0,83.134,83.134,180.0,1.966,1.525,2.648,128.981,128.981,148.864,100.539,121.679,96.866,96.866,1.4990507831684,1.2720073700581,1.4992742199057,0.2789297645036,2.2534576590871,1.3906230900936
128,CEXFUH,-0.96425961538462,51.391,2.73,166.441,119.252,53.162,19.436,93.336,1.755,1.712,2.365,33.198,62.548,48.662,135.459,166.623,111.446,112.407,0.41145366410259,1.7060864228686,1.200830143117,1.2202257854109,0.54716022159681,2.3008347815309
137,XUVMEI,-4.1048305288462,31.521,2.734,122.63,150.455,67.282,85.48,155.02,2.067,2.049,2.965,161.347,173.317,175.479,97.031,120.347,107.967,110.775,1.7407657658119,1.1145508281713,2.0335916607798,0.25081060026805,2.5587398324933,1.4980238548208
139,TEVJEL,-1.7513737980769,79.22,2.738,127.18,137.907,76.402,111.057,96.318,2.021,1.871,2.924,133.932,112.455,104.807,105.003,119.831,109.475,109.585,1.6102133879958,1.2213328150505,1.8072218632161,0.48434505996618,2.5365595834809,1.454524485683
147,UMOBEE,-2.0682872596154,0.0,2.746,104.819,180.0,76.495,76.495,180.0,2.319,2.277,2.609,92.218,92.218,115.165,79.882,108.435,103.505,103.505,2.2418668746808,0.59312217646011,2.2415881832324,-0.40001427073667,2.4751139876816,0.82504045233114
153,BEQXOK01,-2.1444603365385,0.0,2.752,128.053,180.0,71.002,71.002,180.0,2.026,1.616,2.475,94.338,94.338,123.661,99.117,129.437,108.998,108.998,1.5953552929769,1.2488064258205,1.5955848083418,0.25605686749002,1.9115007152717,1.5721927412107
172,QAKRAY,-3.6377163461538,0.0,2.759,116.373,180.0,68.325,68.325,180.0,2.171,1.945,2.629,98.125,98.125,121.881,89.158,120.414,111.675,111.675,1.9450449038589,0.96438650030604,1.9447899799719,-0.02858205382441,2.26722329971,1.3309167927606
174,MEYKEG,-2.7065745192308,0.0,2.76,126.815,180.0,81.292,81.292,180.0,2.048,1.656,2.548,107.04,107.04,133.002,98.133,122.727,98.708,98.708,1.639576615933,1.2272296119658,1.6393445154172,0.2342766735537,2.1435205587656,1.3775425997585
176,MIKWIP,-3.6082872596154,0.0,2.761,111.104,180.0,70.122,70.122,180.0,2.244,2.102,2.736,103.587,103.587,125.016,84.947,114.753,109.878,109.878,2.0934913296753,0.80797899265653,2.0938308937682,-0.18513829507107,2.4846197443985,1.1455831378583
179,WUGLUG,-2.262515625,0.0,2.762,105.236,180.0,69.593,69.593,180.0,2.33,2.28,2.675,94.349,94.349,116.165,80.386,110.998,110.407,110.407,2.2481041480275,0.61231343250129,2.2479779890252,-0.38078203851844,2.497361102007,0.95854709126999
180,BEQXOK,-2.9609723557692,0.0,2.763,103.078,180.0,69.431,69.431,180.0,2.364,2.348,2.911,110.885,110.885,129.137,78.746,107.674,110.569,110.569,2.3026847507579,0.53491956276354,2.3028518533111,-0.45823284659853,2.7735989049065,0.88378171213354
187,JORJUX,-0.93271634615385,55.505,2.766,167.343,123.018,67.191,74.515,34.965,1.789,1.684,2.28,89.92,113.312,21.174,135.639,159.119,101.918,96.961,0.39199496755587,1.7455259795863,1.1774138193397,1.2039737115186,0.8126562635677,2.130255805598
190,CEQQUL,-4.0604014423077,0.0,2.767,110.623,180.0,67.761,67.761,180.0,2.256,2.121,2.838,110.799,110.799,130.212,84.636,114.361,112.239,112.239,2.1114315089073,0.7946024057309,2.1117119248283,-0.19827694404026,2.5853176513846,1.1706308732643
192,XAKYEQ,-2.8321454326923,38.969,2.768,126.421,172.044,64.59,65.215,57.918,2.06,1.706,2.743,100.344,104.932,83.141,98.082,126.96,107.647,107.684,1.6576330624667,1.2230505427894,1.6890557935347,0.23984688100297,2.1918091309939,1.6492488391058
197,GAPNER,-2.5811730769231,35.691,2.772,117.944,152.673,53.342,53.342,61.332,2.165,1.854,2.701,109.379,123.169,101.852,94.089,126.52,100.992,100.992,1.9125740446177,1.0145370983137,1.8492806264486,0.13220122783839,2.1706564333589,1.6073741469607
204,FUXMER,-1.8186887019231,0.0,2.775,130.974,180.0,76.128,76.128,180.0,2.021,1.562,2.546,105.338,105.338,132.904,102.283,127.889,103.872,103.872,1.5258695767674,1.3252030164076,1.5262438500298,0.33230063232879,2.0093083036704,1.5635843887687
205,TASYIW,-0.71694471153846,53.659,2.775,173.126,102.477,42.484,25.214,125.349,1.787,1.761,2.572,15.433,115.113,138.695,152.36,166.998,110.078,103.043,0.21387946722319,1.7741546081163,0.81695362641237,1.5600345420188,0.5786615901078,2.5060596090544
216,CIWSEJ,-2.1582872596154,67.445,2.782,129.168,110.019,94.425,65.496,158.525,2.046,2.035,2.824,131.229,162.427,168.97,117.894,115.493,107.044,107.075,1.5862583976923,1.2922462210239,1.7985627654126,0.95204883218844,2.549049357493,1.2154519213299
217,HADDUM,-0.49446033653846,0.0,2.782,132.116,180.0,68.885,68.885,180.0,2.017,1.539,2.963,174.927,174.927,176.867,103.513,125.248,111.115,111.115,1.4961875933262,1.3526683575721,1.496395752648,0.35961194565415,2.4197686195646,1.709996733263
218,KAJJOX,-0.68308653846154,35.857,2.782,114.54,120.027,33.383,10.617,101.598,2.219,1.932,3.053,87.666,112.816,106.274,102.696,124.993,109.5,109.513,2.0185611442626,0.9216137514562,1.8847623869564,0.42461128660746,2.5010851132991,1.7508233080564
228,LERREG,-0.28271634615385,42.336,2.787,126.864,142.674,37.538,37.538,87.922,2.075,1.554,2.751,118.345,139.487,120.695,107.034,137.618,109.406,109.406,1.6601281432116,1.2448291240635,1.4858277150031,0.45522741715406,1.8543675651048,2.032073309083
233,AQOXCU,-4.152515625,0.0,2.789,106.924,180.0,76.391,76.391,180.0,2.333,2.254,3.144,136.764,136.764,149.458,81.994,106.877,103.609,103.609,2.2319618085863,0.67914319919462,2.2320313645188,-0.31392990906279,3.0085885560389,0.91276004539637
235,EWOZAS,-0.34828725961538,63.433,2.791,167.191,114.231,58.744,75.332,42.309,1.814,1.68,2.328,102.674,169.613,3.115,144.136,168.891,100.583,98.424,0.40216683117219,1.7688577783148,0.98425030510913,1.3614886473609,0.44854997300184,2.2843788918916
242,IGOLEX,-2.8427163461538,35.059,2.796,164.497,123.907,40.898,122.452,125.214,1.826,1.739,2.584,143.762,121.192,167.353,133.894,166.302,109.265,109.747,0.48806940592541,1.7595636547166,1.2531646501216,1.2056945548876,0.61190213667498,2.5105042870174
244,QITBED,-3.7938581730769,0.0,2.796,104.272,180.0,77.803,77.803,180.0,2.381,2.343,3.37,173.926,173.926,175.724,80.019,103.676,102.197,102.197,2.3075135831117,0.58697705556101,2.3075393575521,-0.40609249358724,3.2744545731525,0.79677302185779
248,REFQAW,-2.9577163461538,33.696,2.797,117.96,156.867,76.751,76.751,159.876,2.191,1.894,3.125,168.372,179.998,173.338,93.449,113.672,99.156,99.156,1.9352558112409,1.02726138108,1.8905694799951,0.11394314947003,2.8620591022872,1.2546882859957
270,XINDUU,-2.6015432692308,69.047,2.809,99.007,142.247,41.683,41.683,108.324,2.477,2.437,3.164,123.555,137.923,128.952,80.614,110.914,111.592,111.592,2.4464566607851,0.38778706386418,2.4043735420065,-0.39743788256661,2.9555470704281,1.1294412399428
271,HISZNP01,-3.5717439903846,0.0,2.81,110.823,180.0,76.951,76.951,180.0,2.299,2.156,2.76,103.665,103.665,125.238,85.325,112.166,103.049,103.049,2.1488363365683,0.817253570591,2.1488270836467,-0.17572183867196,2.556021198165,1.0413239815403
273,VUCGAC,-3.2780865384615,39.22,2.81,101.817,143.288,101.879,58.104,136.316,2.433,2.358,3.138,149.259,163.67,176.855,82.746,95.373,109.519,109.459,2.381436629267,0.49824550252393,2.3391268908389,-0.2977404718112,3.1242122604922,0.29383966953103
277,ELAFEE,-4.0988581730769,0.0,2.813,102.857,180.0,70.488,70.488,180.0,2.42,2.403,3.38,162.979,162.979,167.791,79.098,104.919,109.512,109.512,2.3593268901312,0.53849477760133,2.3596309237472,-0.45447871643908,3.2660627611103,0.87019195611558
281,WISGIQ01,-4.5190588942308,0.0,2.814,115.591,180.0,68.3,68.3,180.0,2.239,2.019,3.215,167.067,167.067,171.115,89.262,114.514,111.7,111.7,2.019354966828,0.9671228039639,2.0188325181391,-0.026005070738136,2.9251996268483,1.3339535760613
284,UNENAD,-0.94674399038462,23.942,2.815,106.501,127.286,118.832,116.584,9.991,2.367,2.283,2.868,70.852,50.857,36.492,91.774,93.865,109.472,109.468,2.2695145788615,0.6723039315184,2.2819057836826,0.070675274289895,2.861477137997,0.19331991289242
285,EVOLUX,-4.2896298076923,0.0,2.816,109.799,180.0,76.607,76.607,180.0,2.32,2.193,3.088,131.651,131.651,145.983,84.583,109.209,103.393,103.393,2.1828570996948,0.78583387704528,2.1832060582345,-0.20702731048818,2.916074674634,1.0159982736
291,NURYAB,-1.0158028846154,0.0,2.819,135.163,180.0,69.755,69.755,180.0,2.026,1.496,2.728,120.792,120.792,143.574,107.256,130.742,110.245,110.245,1.4285169669713,1.4366681158414,1.4286633726476,0.44377580787499,2.0668858938717,1.7804400303617
