,Refcode,ΔE,P1/P2,O…O,O-H-O,O_H1-O_H3,O_H1-O_H4,O_H2-O_H3,O_H2-O_H4,min H…O,min H…H,H1…H4,H-O-H-H3,H-O-H-O,H-O-H-H4,O-H1-H3,O-H1-H4,H1-O-H2,H3-O-H4,R(H1O),r(H1O),R(H1H3),r(H1H3),R(H1H4),r(H1H4)
57,REDPOG,0.52705168269231,47.478,2.478,117.66,166.78,83.116,83.116,52.723,1.856,1.633,2.503,114.336,106.395,84.686,86.309,113.062,109.035,109.035,1.6438924798079,0.8615993934718,1.6296127377836,-0.1051252817048,2.3029640015896,0.98049263504759
62,VATBIC,5.7039963942308,0.0,2.506,95.989,70.503,180.0,180.0,70.503,2.2,2.04,2.317,88.997,63.673,63.673,105.96,70.765,109.497,109.497,2.1879922791409,0.22954255905967,1.9613659414039,0.56093105093284,2.1876541720636,-0.76332052471604
70,JUMREQ,4.4607403846154,72.093,2.599,122.03,86.133,71.055,150.664,98.948,1.932,1.788,2.902,121.547,84.577,87.633,127.631,117.654,109.702,109.702,1.6378926346759,1.0246617574959,1.4160234198986,1.0917058552095,2.5704944975658,1.3469083257534
72,BAFVUZ,2.2514807692308,0.0,2.605,129.174,180.0,81.858,81.858,180.0,1.862,1.455,2.76,180.0,180.0,180.0,97.224,118.487,98.142,98.142,1.4434805217813,1.1761836520025,1.4434503770571,0.18296450194987,2.425833976843,1.3164078079358
73,LEDGIM,4.4438269230769,32.363,2.607,110.718,121.211,36.34,19.753,90.9,2.085,1.945,2.055,96.201,121.466,123.394,96.581,138.418,109.524,109.602,1.9501691742124,0.73760774938425,1.9321840557592,0.22291203347982,1.3638855232585,1.5371536290969
76,IKOHOH,1.2997680288462,52.112,2.633,149.053,124.471,63.523,94.204,155.032,1.731,1.702,1.946,74.868,43.231,124.351,122.826,172.157,109.415,109.562,0.89015801522678,1.4845806505298,1.4302258272651,0.92263648476729,0.26554937367903,1.9277965479113
78,NIQSOY,3.6622836538462,74.124,2.638,110.402,53.97,90.292,163.259,65.044,2.122,1.942,2.984,53.123,33.678,43.52,132.974,104.251,109.423,109.426,1.9888865611404,0.73973931010543,1.4208897544672,1.3237961722449,2.8921722143071,0.73457190443807
81,VIPFAD,4.1357716346154,63.0,2.665,81.03,27.032,82.668,99.123,118.45,2.633,2.512,3.235,173.751,176.489,161.325,100.878,84.967,109.359,109.359,2.6007987104136,-0.4105302277674,2.4668624943354,0.47406058056056,3.2225269229399,-0.28380491702543
85,JABYER,3.7680552884615,82.647,2.674,140.072,84.853,84.539,19.523,108.786,1.836,1.664,2.558,85.683,142.462,126.799,154.103,125.964,104.372,106.967,1.1783897132919,1.4079395170276,0.72675979922424,1.4969021992874,2.0704097743173,1.5022540951554
89,BIJFOQ,3.1090276442308,69.779,2.689,111.404,56.302,54.963,124.486,91.825,2.163,2.114,3.044,135.884,112.539,102.814,129.35,116.528,109.456,109.409,2.0138186262606,0.78936907750807,1.6347291113263,1.3403942452064,2.7235161169394,1.3595572664553
90,XOFKIN,4.3228858173077,75.776,2.69,65.354,24.88,116.643,89.065,104.696,2.948,2.929,3.922,95.945,103.094,106.617,83.558,64.723,107.765,107.773,2.6794419297992,-1.2293473654074,2.9105061217009,-0.32862610295244,3.546484302736,-1.6746740251306
91,FIBKEJ,1.2807403846154,80.879,2.691,139.535,129.255,64.795,121.469,82.747,1.858,1.829,1.887,150.082,124.469,161.646,115.41,166.678,108.047,109.086,1.2058111973606,1.4135711359249,1.652063300501,0.78481071038669,0.43480894463301,1.8362217136466
92,TEQSAL,2.0438269230769,27.867,2.694,123.972,125.923,33.534,19.579,88.608,2.011,1.801,2.26,81.537,108.97,102.596,107.479,149.689,107.934,108.065,1.6677439117217,1.1237220496703,1.717842609114,0.54094155905457,1.1406070265102,1.9510549995004
97,GEXQUX01,4.0221141826923,13.27,2.698,72.04,16.832,98.804,98.804,151.444,2.833,2.625,3.758,153.546,159.548,165.827,91.677,74.161,109.565,109.565,2.6949536300276,-0.87356392553798,2.6238756819892,0.076820605735526,3.6153178920436,-1.0256902746296
101,VIPFEH,3.3138269230769,72.217,2.702,116.058,72.934,100.813,85.985,28.325,2.115,2.038,2.952,11.508,41.483,36.919,126.779,104.57,109.428,109.517,1.9000098834944,0.9290788139999,1.6323378746417,1.2202118926688,2.8570666940859,0.74261289077497
103,CEXXIN,1.8451694711538,72.741,2.707,152.684,88.082,109.899,33.072,113.602,1.786,1.65,1.957,73.287,172.107,154.877,169.022,129.644,110.712,101.632,0.81959126602058,1.5868415663395,0.31421290484024,1.6198056211879,1.5069360073859,1.2485963597752
